origin_id,destination_id,mode,duration_seconds,distance_meters
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJayGWJj_XDIgRTvFhL-ZEteE,walking,267,338
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJLZylq8LXDIgR-jgWxNxzFFE,driving,21,90
ChIJw0qqkTjXDIgR4yptdp8KwaY,ChIJLZylq8LXDIgR-jgWxNxzFFE,walking,65,90
ChIJiZIjJknXDIgR8CBqGLrluGE,ChIJw0qqkTjXDIgR4yptdp8KwaY,driving,185,1110
ChIJiZIjJknXDIgR8CBqGLrluGE,ChIJw0qqkTjXDIgR4yptdp8KwaY,walking,798,1047
ChIJiZIjJknXDIgR8CBqGLrluGE,ChIJL4_lNDbXDIgRLqBPGB1HM40,driving,126,679
ChIJiZIjJknXDIgR8CBqGLrluGE,ChIJL4_lNDbXDIgRLqBPGB1HM40,walking,517,679
ChIJiZIjJknXDIgR8CBqGLrluGE,ChIJ-9lDyTfXDIgR5T7Epw42dnI,driving,135,730
ChIJiZIjJknXDIgR8CBqGLrluGE,ChIJ-9lDyTfXDIgR5T7Epw42dnI,walking,563,730
ChIJiZIjJknXDIgR8CBqGLrluGE,ChIJFUmG5EjXDIgRMfPEJwLyHBw,driving,30,147
ChIJiZIjJknXDIgR8CBqGLrluGE,ChIJFUmG5EjXDIgRMfPEJwLyHBw,walking,119,147
ChIJiZIjJknXDIgR8CBqGLrluGE,ChIJHfEixDfXDIgR0SBsjbDpCJk,driving,135,714
ChIJiZIjJknXDIgR8CBqGLrluGE,ChIJHfEixDfXDIgR0SBsjbDpCJk,walking,551,714
ChIJiZIjJknXDIgR8CBqGLrluGE,ChIJU7AMQDjXDIgRHMuvh8rWji0,driving,171,956
ChIJiZIjJknXDIgR8CBqGLrluGE,ChIJU7AMQDjXDIgRHMuvh8rWji0,walking,691,898
ChIJiZIjJknXDIgR8CBqGLrluGE,ChIJc8nXC9PQDIgR_eVWfH_bzWQ,driving,141,765
ChIJiZIjJknXDIgR8CBqGLrluGE,ChIJc8nXC9PQDIgR_eVWfH_bzWQ,walking,578,765
ChIJiZIjJknXDIgR8CBqGLrluGE,ChIJx4iHkTjXDIgRcXG3Vp9LqxQ,driving,197,1163
ChIJiZIjJknXDIgR8CBqGLrluGE,ChIJx4iHkTjXDIgRcXG3Vp9LqxQ,walking,836,1100
ChIJiZIjJknXDIgR8CBqGLrluGE,ChIJ8_qTGCPXDIgRFcypEQpQ5tw,driving,65,367
ChIJiZIjJknXDIgR8CBqGLrluGE,ChIJ8_qTGCPXDIgRFcypEQpQ5tw,walking,267,367
ChIJiZIjJknXDIgR8CBqGLrluGE,ChIJiV_97yjXDIgRU_czihqtLs8,driving,409,2709
ChIJiZIjJknXDIgR8CBqGLrluGE,ChIJiV_97yjXDIgRU_czihqtLs8,walking,2057,2696
ChIJiZIjJknXDIgR8CBqGLrluGE,ChIJY_SduzjXDIgRJFsXW6Kba88,driving,201,1180
