origin_id,destination_id,mode,duration_seconds,distance_meters
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJVzr2yrMsDogRNWrUba0n1AY,walking,2391,3115
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJi0isQbMsDogRgrJp6veYrzk,driving,525,3320
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJi0isQbMsDogRgrJp6veYrzk,walking,2501,3253
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJ25jYKrIsDogR13tC4wGGODg,driving,597,3380
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJ25jYKrIsDogR13tC4wGGODg,walking,2464,3226
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJ4SBuP7IsDogRpq8Knvl6S7M,driving,615,3468
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJ4SBuP7IsDogRpq8Knvl6S7M,walking,2466,3206
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJhXG8orEsDogRA9eL9NhvwRE,driving,600,3445
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJhXG8orEsDogRA9eL9NhvwRE,walking,2388,3104
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJVUmkEX0sDogRzm1DQOACx-g,driving,867,8730
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJVUmkEX0sDogRzm1DQOACx-g,walking,5287,6989
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJSVVC6IUsDogR3J8NXdD2_J4,driving,910,8128
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJSVVC6IUsDogR3J8NXdD2_J4,walking,4741,6256
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJreaOqhMtDogREsyrRF4y8YY,driving,871,8757
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJreaOqhMtDogREsyrRF4y8YY,walking,5307,7016
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJiTdwrJssDogR_W1qoTWG_eA,driving,757,7439
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJiTdwrJssDogR_W1qoTWG_eA,walking,4359,5688
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJqYQOva8sDogRhObdaAScJAc,driving,720,4093
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJqYQOva8sDogRhObdaAScJAc,walking,2878,3710
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJ9wz9v68sDogRaFBaY1O8wk8,driving,685,3990
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJ9wz9v68sDogRaFBaY1O8wk8,walking,2802,3595
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJA70xDK8sDogRcOpTuObZ-kY,driving,743,4160
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJA70xDK8sDogRcOpTuObZ-kY,walking,2938,3777
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJqfIkY60sDogRMP2otSWdKJA,driving,608,3648
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJqfIkY60sDogRMP2otSWdKJA,walking,2769,3590
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJiX_qhK0sDogRT9cIkF9qGmw,driving,650,3798
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJiX_qhK0sDogRT9cIkF9qGmw,walking,2600,3368
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJm2OWBq0sDogRBNtR_wZRHA4,driving,614,3669
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJm2OWBq0sDogRBNtR_wZRHA4,walking,2792,3608
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJazmh0FHTD4gRtbe0su4NLxE,driving,815,4342
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJazmh0FHTD4gRtbe0su4NLxE,walking,3248,4222
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJE8GjKE7TD4gR9CouUZM2Gis,driving,761,4260
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJE8GjKE7TD4gR9CouUZM2Gis,walking,3175,4147
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJx-7Xj5ssDogRQ82Pv1CsDcc,driving,763,7550
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJx-7Xj5ssDogRQ82Pv1CsDcc,walking,4449,5803
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJC_YdYqwsDogR3xYeKE6rLfA,driving,755,4138
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJC_YdYqwsDogR3xYeKE6rLfA,walking,2942,3796
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJ5a8ra6QsDogRENtJLAp40AE,driving,766,6027
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJ5a8ra6QsDogRENtJLAp40AE,walking,3430,4381
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJP0_743EtDogRWv6-GyI8HVw,driving,736,4197
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJP0_743EtDogRWv6-GyI8HVw,walking,2951,3801
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJ2WUVRK8sDogRCez7TBpL278,driving,700,4403
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJ2WUVRK8sDogRCez7TBpL278,walking,3054,3914
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJ469YG6ssDogRLTAOXRQL4rQ,driving,782,4493
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJ469YG6ssDogRLTAOXRQL4rQ,walking,3186,4125
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJRdBgBtAsDogRgWN8ceYmgks,driving,372,2023
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJRdBgBtAsDogRgWN8ceYmgks,walking,1465,1922
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJAdXyvrssDogRfPeijP0aa1k,driving,629,5309
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJAdXyvrssDogRfPeijP0aa1k,walking,2856,3660
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJyw8Mx7AsDogRFvhuNG25jWw,driving,572,3461
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJyw8Mx7AsDogRFvhuNG25jWw,walking,2391,3120
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJT8Tb2P4tDogRUCkDx8hyqvM,driving,627,3559
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJT8Tb2P4tDogRUCkDx8hyqvM,walking,2478,3218
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJMaurKrIsDogRfzxokqjCMys,driving,597,3380
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJMaurKrIsDogRfzxokqjCMys,walking,2446,3200
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJx5enN7IsDogRlQ9Sx_28t8Q,driving,627,3522
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJx5enN7IsDogRlQ9Sx_28t8Q,walking,2428,3153
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJy1Iud6wsDogRDJKE6TnDaJE,driving,830,4481
ChIJh_hkpRMtDogRiYFgy7l-XB0,ChIJy1Iud6wsDogRDJKE6TnDaJE,walking,2906,3724
ChIJN0L8q9LSD4gRNSMWSKNjIM0,ChIJh_hkpRMtDogRiYFgy7l-XB0,driving,138,909
ChIJN0L8q9LSD4gRNSMWSKNjIM0,ChIJh_hkpRMtDogRiYFgy7l-XB0,walking,639,787
ChIJN0L8q9LSD4gRNSMWSKNjIM0,ChIJde-CZxwtDogRbL_SWphLBEk,driving,537,3429
ChIJN0L8q9LSD4gRNSMWSKNjIM0,ChIJde-CZxwtDogRbL_SWphLBEk,walking,2691,3406
ChIJN0L8q9LSD4gRNSMWSKNjIM0,ChIJiWe7DaYsDogREwDDFjcd9pk,driving,296,1950
ChIJN0L8q9LSD4gRNSMWSKNjIM0,ChIJiWe7DaYsDogREwDDFjcd9pk,walking,1442,1800
ChIJN0L8q9LSD4gRNSMWSKNjIM0,ChIJQ6vcPuTSD4gRTbyKKQufF_o,driving,523,3246
ChIJN0L8q9LSD4gRNSMWSKNjIM0,ChIJQ6vcPuTSD4gRTbyKKQufF_o,walking,2496,3247
ChIJN0L8q9LSD4gRNSMWSKNjIM0,ChIJAf82-CctDogRowFnWtg4lco,driving,268,1954
ChIJN0L8q9LSD4gRNSMWSKNjIM0,ChIJAf82-CctDogRowFnWtg4lco,walking,1543,1955
ChIJN0L8q9LSD4gRNSMWSKNjIM0,ChIJJW8vOWAtDogRA0JukJqeJeI,driving,652,7106
